player,player_full_name,team_name,team_name2,cluster,stat,value
J. Champagnie,Justin Champagnie,Pittsburgh,Pitt,4,fg3p,0.264
J. Cone,Jalen Cone,Virginia Tech,Virginia Tech,3,fg3p,0.458015267175573
J. DeLaurier,Javin DeLaurier,Duke,Duke,2,fg3p,0.166666666666667
J. Durham,Juwan Durham,Notre Dame,Notre Dame,2,fg3p,0
J. Francis,Jeremiah Francis,North Carolina,UNC,3,fg3p,0.2
J. Girard III,Joseph Girard III,Syracuse,Syracuse,1,fg3p,0.324074074074074
J. Goldwire,Jordan Goldwire,Duke,Duke,3,fg3p,0.354166666666667
J. Hamilton,Jairus Hamilton,Boston College,Boston College,4,fg3p,0.280898876404494
J. Hamilton,Jared Hamilton,Boston College,Boston College,3,fg3p,0.303030303030303
J. Heath,Jay Heath,Boston College,Boston College,1,fg3p,0.375722543352601
J. Hellems,Jericole Hellems,NC State,NC State,3,fg3p,0.330097087378641
J. Huff,Jay Huff,Virginia,UVA,4,fg3p,0.358490566037736
J. Mooney,John Mooney,Notre Dame,Notre Dame,4,fg3p,0.295238095238095
J. Neath,Jahcobi Neath,Wake Forest,Wake Forest,3,fg3p,0.48
J. Newman III,John Newman III,Clemson,Clemson,3,fg3p,0.303370786516854
J. Nwora,Jordan Nwora,Louisville,Louisville,4,fg3p,0.402116402116402
J. Pierce,Justin Pierce,North Carolina,UNC,3,fg3p,0.228571428571429
J. Rishwain,Julian Rishwain,Boston College,Boston College,3,fg3p,0.333333333333333
J. Usher,Jordan Usher,Georgia Tech,Georgia Tech,4,fg3p,0.204545454545455
J. White,Jack White,Duke,Duke,3,fg3p,0.326923076923077
K. Clark,Kihei Clark,Virginia,UVA,1,fg3p,0.375
K. McGusty,Kameron McGusty,Miami,Miami,1,fg3p,0.327586206896552
K. Moore,Khalid Moore,Georgia Tech,Georgia Tech,3,fg3p,0.36
K. Stattmann,Kody Stattmann,Virginia,UVA,3,fg3p,0.269230769230769
K. Stone,Keith Stone,Miami,Miami,3,fg3p,0.189189189189189
K. Williams,Kamari Williams,Boston College,Boston College,3,fg3p,0.239130434782609
